Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction Rating
Male,44,Returning,Personal,Economy,597,0,0,1,5,1,5,3,4,2,1,2,2,3,5,2,1,Neutral
Male,25,Returning,Personal,Economy,597,28,27,4,1,3,1,2,4,1,5,1,1,4,1,1,4,Dissatisfied
Female,8,Returning,Personal,Economy,597,0,6,4,4,4,4,2,5,2,4,2,2,4,4,2,5,Neutral
Female,62,Returning,Personal,Economy,539,42,39,2,3,4,4,3,3,4,3,2,3,3,3,3,2,Neutral
Male,37,Returning,Personal,Economy,597,55,43,0,2,4,2,3,4,5,3,4,4,5,2,4,5,Neutral
Female,60,Returning,Personal,Economy,597,0,3,4,4,4,4,3,5,1,4,1,3,5,4,5,1,Neutral
Female,24,Returning,Personal,Economy,622,0,0,5,2,4,2,2,4,4,4,4,4,5,2,4,4,Satisfied
Male,25,Returning,Personal,Economy,597,0,0,4,2,2,2,3,4,4,5,4,4,4,2,4,3,Neutral
Female,53,Returning,Personal,Economy,622,17,13,4,2,4,4,3,4,4,2,3,5,4,2,4,4,Satisfied
Female,25,Returning,Personal,Economy,622,26,21,4,4,1,4,2,3,2,4,2,2,3,4,2,2,Neutral
Female,68,Returning,Personal,Economy,622,0,0,4,3,4,4,4,1,4,3,3,3,1,3,1,1,Neutral
Female,26,Returning,Personal,Economy,622,0,3,4,1,3,1,3,5,5,2,5,5,5,1,5,4,Satisfied
Male,36,Returning,Personal,Economy,539,0,0,4,4,4,4,2,3,5,4,5,5,5,4,5,4,Satisfied
Male,21,Returning,Personal,Economy,539,0,0,5,2,4,2,2,5,4,2,4,4,5,2,4,5,Satisfied
Female,64,Returning,Business,Business,597,0,0,5,5,4,5,5,5,4,5,4,2,5,5,5,5,Very Satisfied
Female,64,Returning,Personal,Economy Plus,597,0,0,4,3,3,3,4,3,5,3,5,5,3,3,3,3,Satisfied
Male,15,Returning,Personal,Economy Plus,622,0,0,5,5,3,5,3,5,5,5,5,5,5,5,5,4,Very Satisfied
Male,23,First-time,Business,Economy,562,93,93,4,3,4,3,2,3,1,4,5,5,4,3,5,4,Satisfied
Male,48,Returning,Business,Business,2009,0,0,2,2,3,5,2,4,4,4,4,4,4,2,4,4,Neutral
Female,25,First-time,Business,Business,562,21,75,0,4,3,4,3,3,5,5,5,5,5,4,5,5,Satisfied
Female,51,Returning,Business,Business,3555,0,0,4,4,5,5,4,3,4,3,5,5,3,4,3,3,Satisfied
Male,38,Returning,Business,Business,562,44,36,3,3,2,1,3,3,2,2,2,2,3,3,3,3,Neutral
Female,60,Returning,Business,Business,562,79,89,1,1,4,4,1,5,5,5,5,5,5,1,5,5,Satisfied
Female,45,Returning,Business,Business,2079,0,0,1,1,3,5,1,4,4,4,3,4,4,1,4,4,Neutral
Female,40,Returning,Business,Business,2405,35,40,2,2,3,5,2,4,5,4,3,3,4,2,4,4,Neutral
Male,50,Returning,Business,Business,2996,93,89,3,3,5,4,3,3,4,3,5,2,3,3,3,3,Neutral
Male,40,Returning,Business,Business,562,10,0,4,4,5,4,4,5,5,5,5,5,5,4,5,5,Very Satisfied
Female,35,Returning,Business,Business,3540,8,2,2,2,3,5,2,5,4,5,3,4,5,2,5,5,Satisfied
Male,33,Returning,Business,Business,2855,146,141,3,5,5,5,5,3,5,4,5,5,3,5,5,4,Satisfied
Male,56,Returning,Business,Business,2704,0,3,3,3,5,5,3,2,4,2,3,5,2,3,2,2,Neutral
Male,20,First-time,Business,Economy,562,44,43,3,2,4,2,4,4,5,2,5,5,3,2,5,4,Satisfied
Male,37,First-time,Business,Economy,562,42,65,1,1,4,1,4,2,2,4,2,2,4,1,2,4,Dissatisfied
Female,32,Returning,Business,Business,562,0,0,3,3,5,5,3,4,5,3,5,5,4,3,5,5,Satisfied
Female,28,Returning,Business,Business,562,8,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,Neutral
Female,49,Returning,Business,Economy,562,39,30,4,2,3,4,4,2,4,2,2,2,2,2,2,2,Neutral
Male,29,Returning,Business,Business,562,0,0,5,5,1,2,5,4,2,5,2,2,3,2,2,4,Neutral
Male,46,Returning,Personal,Economy,562,145,138,3,1,1,1,2,1,1,3,1,1,2,1,4,3,Dissatisfied
Female,14,Returning,Personal,Economy,562,50,48,5,1,4,1,1,3,1,2,1,1,4,1,1,4,Dissatisfied
Male,16,Returning,Personal,Economy,562,0,0,5,2,3,2,2,5,2,2,2,2,5,3,2,4,Neutral
Female,20,Returning,Personal,Economy,562,175,186,4,1,4,4,2,2,4,4,4,1,4,2,5,5,Neutral
Female,7,Returning,Personal,Economy,562,12,9,2,2,1,2,4,1,5,4,5,5,3,2,5,3,Neutral
Male,53,Returning,Personal,Economy,562,0,0,4,4,5,4,3,5,3,4,3,3,5,4,3,5,Satisfied
Male,19,Returning,Personal,Economy,562,50,44,5,1,3,1,1,3,1,2,1,1,4,1,1,4,Dissatisfied
Male,32,Returning,Personal,Economy,562,0,0,3,3,1,3,1,3,4,5,1,1,5,3,1,1,Neutral
Male,65,Returning,Personal,Economy,562,0,0,4,3,5,3,4,5,2,5,2,2,5,3,2,4,Satisfied
Male,42,Returning,Personal,Economy,562,0,0,5,3,2,3,3,3,3,1,3,3,3,3,3,3,Neutral
Male,62,Returning,Personal,Economy,562,0,0,4,2,4,2,1,5,4,5,4,4,5,2,4,5,Satisfied
Female,38,Returning,Personal,Economy,562,0,0,3,5,4,5,3,1,4,1,4,4,3,5,4,3,Satisfied
Female,29,Returning,Business,Business,3877,5,3,2,4,4,5,2,5,5,5,5,5,5,2,5,5,Satisfied
Female,8,Returning,Business,Business,2048,0,0,5,5,3,4,5,5,4,4,4,4,4,5,4,5,Satisfied
Male,38,Returning,Personal,Economy Plus,562,27,29,5,4,5,4,5,5,4,2,4,4,5,4,4,4,Satisfied
Female,63,Returning,Personal,Economy Plus,562,17,19,3,2,2,2,2,1,3,2,1,4,1,2,1,1,Dissatisfied
Female,56,Returning,Business,Business,2645,227,208,1,1,5,5,1,4,5,5,5,5,4,1,3,5,Satisfied
Male,60,Returning,Business,Business,2844,0,0,2,2,5,5,2,5,4,5,4,5,5,2,5,5,Satisfied
Female,25,Returning,Business,Business,772,0,0,4,4,3,4,4,4,4,4,4,4,5,4,4,4,Satisfied
Female,60,Returning,Business,Business,2521,0,0,3,3,5,4,3,4,5,4,4,5,4,3,4,4,Satisfied
Male,22,First-time,Business,Business,695,0,0,0,4,5,4,4,4,1,4,3,3,5,4,3,5,Satisfied
Female,60,Returning,Business,Business,372,0,0,5,5,5,5,5,5,5,5,5,2,5,5,5,5,Very Satisfied
Male,25,Returning,Business,Business,3616,0,0,5,5,4,2,5,3,2,4,2,2,5,5,2,4,Satisfied
Female,32,First-time,Business,Business,772,0,0,4,4,3,4,3,5,5,5,5,5,5,4,5,5,Satisfied
Male,54,Returning,Business,Business,695,0,0,4,4,5,5,4,4,5,4,5,3,4,4,4,4,Satisfied
Female,31,Returning,Business,Business,695,0,17,2,2,4,3,2,4,3,3,3,3,4,2,3,5,Neutral
Male,37,Returning,Business,Business,2767,41,47,1,5,5,5,1,5,5,5,5,2,5,1,5,5,Satisfied
Female,26,First-time,Business,Business,772,0,6,3,3,3,3,5,5,2,4,4,4,4,2,4,4,Satisfied
Female,41,Returning,Business,Business,772,36,13,1,1,3,5,1,5,4,5,4,5,5,1,5,5,Satisfied
Male,32,Returning,Business,Business,2613,1,0,2,2,5,5,2,4,5,4,5,5,4,2,5,4,Satisfied
Female,53,Returning,Business,Business,695,0,14,4,4,4,4,4,4,4,4,5,2,4,4,4,4,Satisfied
Male,42,Returning,Business,Business,772,0,0,1,1,3,5,1,5,4,5,4,2,5,1,5,5,Neutral
Female,36,Returning,Business,Economy,772,0,1,4,4,4,4,4,1,4,3,4,4,3,4,4,3,Satisfied
Male,58,Returning,Business,Business,772,0,0,3,3,5,4,3,5,4,5,3,5,5,3,5,5,Satisfied
Male,39,First-time,Business,Business,772,0,0,3,3,4,3,3,1,3,2,3,3,3,3,3,3,Neutral
Male,30,Returning,Business,Business,3179,0,0,5,5,1,3,5,1,3,2,3,3,4,3,3,3,Neutral
Female,30,First-time,Business,Economy,772,25,49,3,3,1,3,4,2,5,3,5,5,3,3,5,4,Satisfied
Male,40,Returning,Business,Business,2969,0,5,3,3,5,5,3,5,5,5,4,5,5,3,5,5,Satisfied
Male,18,Returning,Business,Business,3172,0,0,2,2,5,4,2,3,4,2,4,4,4,2,4,5,Neutral
Female,33,Returning,Business,Business,772,0,0,4,2,4,5,4,4,4,4,3,2,4,4,4,4,Satisfied
Female,29,First-time,Business,Economy,772,0,0,1,1,1,1,4,1,5,5,5,5,4,1,5,3,Neutral
Male,59,Returning,Business,Business,3778,0,0,2,2,4,5,2,5,5,4,4,4,5,2,5,5,Satisfied
Female,42,Returning,Business,Economy,695,0,18,2,2,2,4,2,4,3,4,1,2,4,4,4,4,Neutral
Female,38,Returning,Business,Business,2597,0,11,4,4,1,3,4,3,3,3,4,4,3,3,3,3,Neutral
Male,73,Returning,Business,Business,3178,0,0,1,1,3,4,1,4,3,4,4,4,4,4,4,4,Neutral
Male,39,Returning,Business,Economy,372,0,0,5,5,3,2,5,3,2,4,2,2,3,2,2,4,Neutral
Male,47,Returning,Personal,Economy,772,27,32,4,2,2,2,1,1,4,3,4,4,3,2,4,3,Neutral
Male,8,Returning,Personal,Economy,772,0,0,3,3,3,3,2,3,5,2,5,5,2,3,5,3,Neutral
Male,56,Returning,Personal,Economy,695,0,0,4,3,3,3,3,4,5,2,5,5,5,3,5,5,Satisfied
Female,30,Returning,Business,Economy Plus,772,0,0,1,1,3,2,1,2,2,5,2,2,3,2,2,3,Dissatisfied
Male,58,Returning,Personal,Economy Plus,772,0,0,4,1,1,1,2,4,4,3,4,4,2,1,4,1,Neutral
Female,38,Returning,Personal,Economy Plus,695,0,0,4,3,3,3,3,4,3,5,2,2,4,3,2,3,Neutral
Male,44,Returning,Personal,Economy Plus,772,0,0,4,4,2,4,3,2,2,5,2,2,1,4,2,1,Neutral
Female,32,Returning,Personal,Economy Plus,695,0,6,5,3,4,3,1,5,3,3,3,3,4,3,3,4,Neutral
Male,36,Returning,Business,Business,1631,43,27,3,5,3,5,3,5,4,5,4,4,5,3,5,5,Satisfied
Male,39,First-time,Business,Business,764,10,0,3,3,4,3,2,5,1,3,4,4,4,4,4,4,Neutral
Female,49,First-time,Business,Business,764,66,59,1,1,4,1,3,5,3,3,3,3,4,1,3,4,Neutral
Female,55,Returning,Business,Business,764,0,0,2,2,5,4,2,5,4,5,3,2,5,2,5,5,Satisfied
Female,36,First-time,Business,Business,764,0,15,2,2,4,2,3,5,2,2,2,2,5,2,2,4,Neutral
Male,34,Returning,Business,Business,1587,0,0,4,4,4,4,4,5,5,5,4,4,5,4,5,5,Satisfied
Male,42,Returning,Personal,Business,764,0,0,4,3,5,5,2,2,5,3,5,4,2,4,2,3,Satisfied
Male,40,Returning,Personal,Business,765,64,64,4,2,4,5,3,5,4,2,4,5,5,2,5,5,Satisfied
Female,41,Returning,Business,Business,2679,75,64,1,1,5,5,1,5,4,5,4,4,5,1,5,5,Satisfied
Male,39,Returning,Business,Business,764,0,0,2,2,3,5,2,4,4,3,4,4,4,2,4,4,Neutral
Female,45,Returning,Business,Business,3784,0,0,2,2,4,4,2,5,5,5,5,5,5,2,5,5,Satisfied
Male,57,Returning,Business,Business,764,0,0,5,5,4,4,5,4,4,4,5,2,4,5,4,4,Satisfied
Female,45,First-time,Business,Business,765,27,36,5,5,3,4,5,3,3,2,3,3,5,4,3,4,Satisfied
Female,53,Returning,Business,Business,1963,1,1,2,2,4,5,2,4,5,4,3,4,4,2,4,4,Satisfied
Female,57,Returning,Business,Business,2054,0,2,3,3,4,4,3,5,4,5,3,4,5,3,5,5,Satisfied
Male,44,First-time,Business,Business,764,16,26,1,1,5,1,3,5,1,3,1,1,4,1,1,5,Dissatisfied
Male,52,Returning,Business,Business,764,3,0,3,3,5,4,3,5,5,5,5,3,5,3,5,5,Satisfied
Female,42,Returning,Business,Business,1847,35,35,3,3,4,4,3,4,4,4,4,5,4,3,4,4,Satisfied
Female,30,Returning,Business,Business,1911,43,44,3,3,4,1,3,1,1,2,1,1,3,1,1,4,Dissatisfied
Male,49,Returning,Business,Business,764,0,10,3,3,4,5,3,4,4,4,4,4,4,3,4,4,Satisfied
Female,52,Returning,Business,Business,1718,40,34,1,1,4,5,1,5,5,5,3,3,5,1,5,5,Satisfied
Male,47,Returning,Business,Business,3065,57,54,2,2,2,2,2,3,2,3,1,3,3,3,3,3,Dissatisfied
Female,49,Returning,Business,Business,1589,180,221,4,2,4,4,4,3,4,4,4,4,4,4,4,5,Satisfied
Male,56,Returning,Business,Business,764,0,0,4,4,4,5,4,5,5,5,4,2,5,4,5,5,Satisfied
Female,52,Returning,Business,Business,2413,13,15,4,4,3,5,4,2,4,2,4,5,2,4,2,2,Neutral
Female,42,Returning,Business,Business,3167,0,0,1,1,3,4,1,4,4,3,4,4,4,1,4,4,Neutral
Female,35,Returning,Business,Business,765,0,21,3,2,1,3,3,3,4,3,4,2,3,3,3,3,Neutral
Male,44,Returning,Business,Business,765,0,7,5,2,4,2,5,3,3,3,2,4,3,3,3,3,Neutral
Female,22,First-time,Business,Economy,764,67,50,2,2,3,2,4,1,3,2,3,3,3,2,3,3,Neutral
Male,24,Returning,Business,Business,3902,0,0,1,1,1,2,1,2,2,2,2,2,3,2,2,4,Dissatisfied
Female,17,First-time,Business,Economy,764,0,0,2,2,2,2,4,4,5,4,5,5,3,2,5,3,Neutral
Male,44,Returning,Business,Economy,364,0,14,3,4,5,3,4,5,3,3,3,3,1,3,3,3,Neutral
Male,39,Returning,Business,Economy,365,0,0,4,4,4,4,4,1,4,5,4,4,4,4,4,3,Satisfied
Female,70,Returning,Personal,Economy,764,1,0,4,3,5,4,3,4,5,3,5,4,4,2,4,5,Satisfied
Male,60,Returning,Personal,Economy,765,17,10,5,3,4,3,4,5,1,4,1,1,4,2,1,4,Neutral
Male,27,Returning,Personal,Economy,764,0,14,5,2,3,2,4,2,4,1,4,4,2,2,4,3,Neutral
Male,55,Returning,Personal,Economy,764,19,7,3,4,2,4,2,2,2,4,2,2,2,4,2,5,Neutral
Female,47,Returning,Personal,Economy,764,0,0,4,4,5,4,5,1,4,4,4,3,1,4,1,1,Neutral
Male,35,Returning,Personal,Economy,764,0,0,4,4,5,4,4,3,2,4,2,2,5,4,2,4,Satisfied
Male,70,Returning,Personal,Economy,764,0,0,4,3,3,3,3,4,3,5,1,1,5,3,1,5,Neutral
Male,46,Returning,Personal,Economy,764,0,0,3,2,2,2,3,5,1,1,1,1,3,2,1,3,Dissatisfied
Male,50,Returning,Personal,Economy,764,19,28,5,3,5,3,1,5,4,4,4,4,4,3,4,5,Satisfied
Female,48,Returning,Business,Business,3367,0,0,3,3,5,5,3,5,5,5,3,3,5,3,5,5,Satisfied
Male,42,Returning,Business,Business,3931,33,25,3,3,4,4,3,5,4,5,4,2,5,3,5,5,Satisfied
Female,30,First-time,Business,Economy Plus,764,0,6,3,3,3,3,4,1,2,5,4,4,3,3,4,4,Neutral
Female,23,First-time,Business,Economy Plus,764,0,0,0,2,1,2,4,4,2,3,2,2,1,2,2,5,Dissatisfied
Female,47,Returning,Business,Business,409,0,28,5,1,3,5,5,4,4,4,3,4,4,5,4,4,Satisfied
Male,21,First-time,Business,Economy,491,0,0,0,1,3,1,3,3,4,5,4,4,3,1,4,4,Neutral
Male,28,Returning,Business,Business,3178,0,11,1,1,2,2,1,4,2,2,2,2,3,2,2,3,Dissatisfied
Male,67,Returning,Business,Business,3906,0,0,2,2,1,4,2,2,4,2,4,3,2,2,2,2,Dissatisfied
Male,36,Returning,Personal,Business,409,168,171,4,1,4,4,2,2,4,1,4,1,2,1,2,3,Neutral
Female,48,Returning,Business,Business,475,71,63,1,1,5,4,1,5,4,5,4,4,5,1,5,5,Satisfied
Female,43,Returning,Business,Business,409,1,32,4,4,3,5,4,2,5,3,3,4,2,4,2,2,Neutral
Male,17,First-time,Business,Economy,491,0,1,4,1,4,1,4,4,1,4,1,1,3,1,1,3,Dissatisfied
Male,52,Returning,Business,Business,2800,0,0,3,3,4,5,3,5,5,5,5,4,5,3,5,5,Satisfied
Male,44,First-time,Business,Business,409,9,21,2,2,5,2,3,3,1,2,1,1,4,2,1,5,Dissatisfied
Female,45,First-time,Business,Business,491,0,0,3,3,3,3,3,4,2,2,2,2,5,3,2,4,Neutral
Male,30,Returning,Business,Business,1637,0,0,4,4,3,3,4,4,3,5,3,3,5,4,3,5,Satisfied
Male,20,First-time,Business,Economy,491,0,0,4,4,5,4,4,4,3,2,3,3,4,4,3,5,Satisfied
Female,41,Returning,Business,Business,409,0,28,3,3,3,5,3,5,5,5,3,5,5,3,5,5,Satisfied
Female,48,Returning,Business,Business,2026,2,0,1,1,4,5,1,4,4,4,4,2,4,1,4,4,Neutral
Male,56,Returning,Business,Business,2117,0,0,2,2,3,4,2,5,4,5,3,3,5,2,5,5,Satisfied
Female,31,Returning,Business,Business,491,67,58,4,5,3,4,4,5,4,3,4,4,4,4,4,4,Satisfied
Female,26,First-time,Business,Business,491,77,61,5,2,4,2,2,5,4,5,4,4,5,2,4,5,Satisfied
Female,37,Returning,Business,Business,2620,0,25,1,1,5,5,1,2,4,2,4,2,2,1,2,2,Dissatisfied
Male,58,Returning,Business,Business,409,11,25,2,2,5,5,2,4,4,4,3,2,4,2,4,4,Neutral
Female,47,Returning,Business,Business,409,0,10,5,5,5,5,5,4,5,4,5,5,4,5,4,4,Very Satisfied
Female,40,First-time,Business,Business,409,108,114,2,2,3,2,3,1,5,2,5,5,3,2,5,4,Neutral
Female,54,Returning,Business,Business,1661,0,9,3,3,5,5,3,5,5,5,3,4,5,3,5,5,Satisfied
Male,43,Returning,Business,Business,3159,0,5,2,2,5,5,2,5,5,5,4,5,5,2,5,5,Satisfied
Male,42,Returning,Business,Business,501,0,0,2,2,5,4,2,5,4,5,5,4,5,2,5,5,Satisfied
Male,69,First-time,Business,Business,491,0,0,4,4,3,4,1,3,2,3,2,2,4,4,2,4,Neutral
Female,59,First-time,Business,Economy,475,1,0,4,2,3,2,3,1,1,5,3,3,3,2,3,4,Neutral
Female,40,Returning,Business,Business,409,0,7,5,5,5,4,5,5,4,5,4,4,5,5,5,5,Very Satisfied
Female,59,Returning,Business,Business,1832,0,0,1,1,3,4,1,4,5,4,5,3,4,1,4,4,Neutral
Male,40,Returning,Business,Business,409,0,2,1,1,2,2,1,1,3,1,4,2,1,1,1,1,Dissatisfied
Female,28,Returning,Business,Business,409,227,208,4,5,4,4,4,2,4,3,4,4,3,4,1,4,Satisfied
Female,57,Returning,Business,Business,2403,0,0,3,3,1,4,3,2,3,2,4,1,2,2,2,2,Dissatisfied
Female,44,Returning,Business,Business,2646,3,5,1,1,3,5,1,4,5,5,4,4,4,1,4,4,Neutral
Female,48,Returning,Business,Business,1608,0,0,1,1,5,5,1,5,5,5,5,3,5,1,5,5,Satisfied
Male,59,Returning,Business,Business,491,4,0,1,1,5,4,1,5,4,5,4,4,5,1,5,5,Satisfied
Male,38,Returning,Business,Business,3227,0,0,3,3,3,5,3,4,5,4,5,2,4,3,4,4,Satisfied
Female,48,Returning,Business,Business,475,240,298,4,3,3,3,4,2,3,3,3,4,4,3,4,3,Neutral
Female,24,Returning,Business,Business,3663,0,0,4,4,1,2,4,2,2,3,2,2,3,2,2,4,Neutral
Male,51,Returning,Business,Business,2217,27,44,2,2,2,4,2,4,3,4,3,3,4,4,4,4,Neutral
Female,17,Returning,Business,Business,2711,11,15,1,1,2,2,1,1,3,5,3,3,4,3,3,4,Neutral
Male,40,Returning,Business,Business,2219,0,0,5,5,3,4,5,4,5,4,5,2,4,5,4,4,Satisfied
Female,54,Returning,Business,Business,491,13,29,2,2,3,3,2,4,3,4,1,5,4,4,4,4,Neutral
Female,60,Returning,Business,Business,409,105,136,1,4,4,4,1,4,4,5,4,4,4,1,5,4,Satisfied
Male,47,Returning,Business,Business,2137,0,0,4,4,3,4,4,5,4,5,5,5,5,4,5,5,Satisfied
Male,59,Returning,Business,Economy,409,0,7,4,4,1,1,4,3,1,4,1,1,3,1,1,4,Dissatisfied
Female,51,Returning,Business,Economy,475,41,72,5,5,4,3,5,3,3,3,1,1,3,3,3,3,Neutral
Female,46,Returning,Business,Business,3006,18,13,1,1,4,4,1,4,3,4,4,5,4,4,4,4,Neutral
Female,36,Returning,Business,Business,3655,0,0,1,2,1,4,2,2,3,2,2,3,2,2,2,2,Dissatisfied
Female,47,Returning,Business,Business,2420,106,119,3,3,3,3,3,3,2,3,2,5,3,3,3,3,Neutral
Male,48,Returning,Business,Economy,491,0,0,4,4,4,2,4,3,2,3,2,2,3,2,2,4,Neutral
Female,24,First-time,Business,Economy,409,0,0,0,4,4,4,4,4,2,5,2,2,4,4,2,4,Neutral
Female,42,Returning,Business,Business,1568,0,7,5,5,3,3,5,3,3,3,2,2,3,3,3,3,Neutral
Female,56,Returning,Business,Economy,409,0,0,4,4,1,4,4,4,3,4,3,1,4,4,4,4,Neutral
Male,44,First-time,Business,Economy,491,0,27,0,5,2,5,4,3,4,3,4,4,4,5,4,3,Satisfied
Female,34,Returning,Business,Business,409,6,0,1,1,2,2,1,3,3,5,1,1,3,1,3,3,Dissatisfied
Male,37,Returning,Business,Business,3640,0,0,5,5,3,2,5,2,2,2,1,3,2,2,2,2,Neutral
Female,25,First-time,Business,Economy,475,37,28,3,2,3,2,3,1,4,2,3,3,3,2,3,3,Neutral
Female,22,Returning,Business,Business,475,0,0,5,5,1,3,5,2,4,2,4,4,2,5,4,4,Satisfied
Female,39,Returning,Business,Business,3827,24,22,3,3,3,4,3,2,3,2,4,4,2,2,2,2,Neutral
Male,24,Returning,Business,Economy,409,0,0,1,1,1,5,1,5,5,3,5,5,1,5,5,5,Neutral
Female,68,Returning,Personal,Economy,491,0,0,3,3,2,1,2,4,2,3,4,4,4,2,4,4,Neutral
Male,68,Returning,Personal,Economy,475,0,20,5,4,4,4,3,1,4,3,4,4,4,4,4,5,Satisfied
Male,27,Returning,Personal,Economy,491,181,201,2,3,3,3,2,5,3,2,3,3,1,3,1,2,Neutral
Male,13,Returning,Personal,Economy,409,0,0,4,2,3,2,2,4,4,2,4,4,5,2,4,4,Neutral
Male,12,Returning,Personal,Economy,409,35,43,5,2,5,2,4,4,2,2,2,2,4,2,2,5,Neutral
Male,70,Returning,Personal,Economy,475,166,172,3,5,1,1,2,3,1,5,1,5,2,3,4,4,Neutral
Female,70,Returning,Personal,Economy,409,0,14,5,3,3,4,3,5,5,3,3,2,5,3,5,1,Satisfied
Female,48,Returning,Personal,Economy,475,10,46,5,3,4,3,4,3,2,3,1,2,3,3,3,1,Neutral
Male,42,Returning,Personal,Economy,409,0,20,5,1,1,1,5,3,1,2,4,4,4,1,4,4,Neutral
Female,14,Returning,Personal,Economy,491,0,0,2,2,1,2,3,2,1,2,1,1,3,1,1,4,Dissatisfied
Female,7,Returning,Personal,Economy,409,0,9,3,2,4,2,2,1,2,1,4,4,3,2,4,3,Neutral
Male,37,Returning,Personal,Economy,475,55,54,1,2,1,2,3,4,1,4,1,1,3,2,1,3,Dissatisfied
Male,65,Returning,Personal,Economy,491,0,29,0,4,4,4,1,5,2,2,2,2,5,4,2,5,Neutral
Female,14,Returning,Personal,Economy,491,11,0,4,1,4,1,4,3,5,2,5,5,5,1,5,4,Satisfied
Male,28,Returning,Personal,Economy,491,39,26,5,1,3,1,1,4,4,1,4,4,4,1,4,1,Neutral
Female,12,Returning,Personal,Economy,409,0,0,2,4,2,4,2,1,2,3,2,2,2,4,2,2,Dissatisfied
Female,14,Returning,Personal,Economy,409,15,28,1,2,3,2,3,4,5,3,3,3,2,2,3,3,Neutral
Female,25,Returning,Personal,Economy,409,9,21,3,3,5,3,3,2,4,1,4,4,1,3,4,4,Neutral
Male,63,Returning,Personal,Economy,491,6,0,4,2,2,2,3,4,2,5,2,2,3,2,2,4,Neutral
Male,66,Returning,Personal,Economy,409,32,41,4,3,5,3,2,5,1,5,3,3,4,3,3,4,Neutral
Male,45,Returning,Personal,Economy,491,0,0,2,1,2,1,3,3,5,3,5,5,3,1,5,3,Neutral
Female,31,Returning,Personal,Economy,409,0,0,5,3,3,3,2,3,3,4,3,3,4,3,3,5,Neutral
Male,21,Returning,Personal,Economy,475,55,42,3,2,5,2,1,1,3,3,3,3,3,2,3,1,Neutral
Male,61,Returning,Personal,Economy,409,20,12,1,3,1,3,1,3,4,4,5,5,2,3,5,1,Neutral
Male,12,Returning,Personal,Economy,409,10,25,5,3,3,3,2,3,2,3,2,2,4,2,2,4,Neutral
Male,30,Returning,Personal,Economy,409,0,4,5,1,3,1,2,4,3,5,3,3,4,1,3,5,Neutral
Female,51,Returning,Personal,Economy,409,70,68,5,3,5,5,3,3,5,3,4,3,3,3,3,5,Satisfied
Male,40,Returning,Personal,Economy,491,36,30,3,2,2,2,3,1,5,3,5,5,3,2,5,3,Neutral
Male,51,Returning,Personal,Economy,409,0,30,5,1,5,1,3,4,3,5,3,3,5,1,3,5,Neutral
Male,35,Returning,Personal,Economy,409,0,0,4,3,4,3,2,3,5,5,1,1,4,3,1,4,Neutral
Male,60,Returning,Personal,Economy,491,22,49,3,1,5,1,3,3,5,2,5,5,1,1,5,2,Neutral
Male,39,Returning,Personal,Economy,409,0,0,4,2,5,2,4,3,2,2,2,2,4,2,2,2,Neutral
Female,45,Returning,Personal,Economy,491,95,104,5,2,4,4,5,2,4,2,5,4,2,2,2,2,Neutral
Female,59,Returning,Personal,Economy,409,0,0,5,4,3,5,3,1,4,4,4,2,1,4,1,1,Neutral
Female,14,Returning,Personal,Economy,491,0,0,5,3,5,3,1,4,3,2,3,3,5,4,3,4,Neutral
Female,17,Returning,Personal,Economy,409,0,0,4,1,4,1,5,3,1,3,1,1,4,1,1,5,Neutral
Male,39,Returning,Personal,Economy,409,0,0,4,4,2,4,3,3,3,3,3,3,4,1,3,4,Neutral
Female,19,Returning,Personal,Economy,409,0,0,4,3,4,3,2,5,3,4,3,3,5,3,3,5,Satisfied
Female,27,First-time,Business,Business,409,0,32,5,5,5,5,3,3,2,4,2,2,4,4,2,5,Satisfied
Male,27,First-time,Business,Business,409,0,1,2,2,4,2,1,3,1,2,1,1,4,2,1,5,Dissatisfied
Female,47,First-time,Business,Economy Plus,491,0,0,3,3,4,3,3,1,5,5,2,2,3,3,2,3,Neutral
Male,53,Returning,Business,Economy Plus,409,0,0,5,5,2,2,5,3,2,2,2,2,4,2,2,3,Neutral
Female,61,Returning,Business,Economy Plus,409,35,39,2,2,3,2,2,2,1,2,4,2,2,2,2,2,Dissatisfied
Female,26,Returning,Personal,Economy Plus,409,0,0,5,4,1,4,2,5,4,3,4,4,2,4,4,1,Neutral
Female,44,Returning,Personal,Economy Plus,409,0,0,3,3,4,4,4,1,3,3,2,5,1,2,1,1,Neutral
Male,47,Returning,Business,Business,3271,34,46,1,1,3,4,1,5,5,5,5,4,5,1,5,5,Satisfied
Female,25,First-time,Business,Business,806,0,0,5,4,3,4,2,3,4,3,4,4,5,4,4,4,Satisfied
Female,49,Returning,Business,Business,859,178,176,5,5,1,1,5,4,1,4,1,1,2,1,4,4,Neutral
Female,58,Returning,Personal,Business,859,0,0,5,5,4,5,2,4,4,5,5,3,4,5,4,4,Satisfied
Female,42,Returning,Personal,Business,806,26,21,5,3,3,5,4,4,4,3,4,1,4,3,4,4,Satisfied
